PLC_Tag,Address,RegisterType,DataType,FunctionCode,AccessType,Description,Unit,SignalType,DCS_Tag,DCS_Functions
2711-PM-1301A_EM_STOP.MCU,121,1,BOOL,2,Read,MCU.2711-PM-1301A - SM Loading Pump (Railway)_Emergency shutdown 1:Emergency shutdown 0:Normal,"",Permanent,"",""
2713-PM-0001A_TX.MCU,122,1,BOOL,2,Read,MCU.2713-PM-0001A - EB Transfer Pump_Communication Status 1:Communication Normal 0:Communication Interrupted,"",Permanent,"",""
2713-PM-0001A_EM_STOP.MCU,123,1,BOOL,2,Read,MCU.2713-PM-0001A - EB Transfer Pump_Emergency shutdown 1:Emergency shutdown 0:Normal,"",Permanent,"",""
2609-KM-8001A_TX.MCU,124,1,BOOL,2,Read,MCU.2609-KM-8001A - Instrument air compressor_Communication Status 1:Communication Normal 0:Communication Interrupted,"",Permanent,"",""
2609-KM-8001A_EM_STOP.MCU,125,1,BOOL,2,Read,MCU.2609-KM-8001A - Instrument air compressor_Emergency shutdown 1:Emergency shutdown 0:Normal,"",Permanent,"",""
2204-NK-SG-001-A.SS01_1_PLC_TX.PLC,126,1,BOOL,2,Read,PLC.2204-NK-SG-001-A.SS01_1 - inlet switch+SOFT STARTER_SSR PLC Communication Status 1:Communication Normal 0:Communication Interrupted,"",Permanent,"",""
2711-PM-1301A_M1_PERMIT.PLC,127,1,BOOL,2,Read,PLC.2711-PM-1301A - SM Loading Pump (Railway)_Circuit 1_Permitted State 1:Permit 0:Not Permit,"",Permanent,"",""
2711-PM-1301A_Q1_READY.PLC,128,1,BOOL,2,Read,PLC.2711-PM-1301A - SM Loading Pump (Railway)_Circuit 1_Q1_Ready 1:Ready 0:Not Ready,"",Permanent,"",""
2711-PM-1301A_Q1_BYPS.PLC,129,1,BOOL,2,Read,PLC.2711-PM-1301A - SM Loading Pump (Railway)_Circuit 1_Q1_Motor 1 Operation 1:Running 0:Stopped,"",Permanent,"",""
2711-PM-1301A_Q1_F.PLC,130,1,BOOL,2,Read,PLC.2711-PM-1301A - SM Loading Pump (Railway)_Circuit 1_Q1_Motor 1 Fault 1:Fault 0:Normal,"",Permanent,"",""
2711-PM-1301A_QF1_ATUO.PLC,131,1,BOOL,2,Read,PLC.2711-PM-1301A - SM Loading Pump (Railway)_Circuit 1_Q1_Remote_Local 1:Remote 0:Local,"",Permanent,"",""
2711-PM-1301A_QF1_STA.PLC,132,1,BOOL,2,Read,PLC.2711-PM-1301A - SM Loading Pump (Railway)_Circuit 1_QF1_Switch Closing 1:Closed 0:Open,"",Permanent,"",""
2713-PM-0001A_M2_PERMIT.PLC,133,1,BOOL,2,Read,PLC.2713-PM-0001A - EB Transfer Pump_Circuit 2_Permitted State 1:Permit 0:Not Permit,"",Permanent,"",""
2713-PM-0001A_Q2_READY.PLC,134,1,BOOL,2,Read,PLC.2713-PM-0001A - EB Transfer Pump_Circuit 2_Q2_Ready 1:Ready 0:Not Ready,"",Permanent,"",""
2713-PM-0001A_Q2_BYPS.PLC,135,1,BOOL,2,Read,PLC.2713-PM-0001A - EB Transfer Pump_Circuit 2_Q2_Motor 2 Operation 1:Running 0:Stopped,"",Permanent,"",""
2713-PM-0001A_Q2_F.PLC,136,1,BOOL,2,Read,PLC.2713-PM-0001A - EB Transfer Pump_Circuit 2_Q2_Motor 2 Fault 1:Fault 0:Normal,"",Permanent,"",""
2713-PM-0001A_QF2_ATUO.PLC,137,1,BOOL,2,Read,PLC.2713-PM-0001A - EB Transfer Pump_Circuit 2_Q2_Remote_Local 1:Remote 0:Local,"",Permanent,"",""
2713-PM-0001A_QF2_STA.PLC,138,1,BOOL,2,Read,PLC.2713-PM-0001A - EB Transfer Pump_Circuit 2_QF2_Switch Closing 1:Closed 0:Open,"",Permanent,"",""
2609-KM-8001A_M3_PERMIT.PLC,139,1,BOOL,2,Read,PLC.2609-KM-8001A - Instrument air compressor_Circuit 3_Permitted State 1:Permit 0:Not Permit,"",Permanent,"",""
2609-KM-8001A_Q3_READY.PLC,140,1,BOOL,2,Read,PLC.2609-KM-8001A - Instrument air compressor_Circuit 3_Q3_Ready 1:Ready 0:Not Ready,"",Permanent,"",""
2609-KM-8001A_Q3_BYPS.PLC,141,1,BOOL,2,Read,PLC.2609-KM-8001A - Instrument air compressor_Circuit 3_Q3_Motor 3 Operation 1:Running 0:Stopped,"",Permanent,"",""
2609-KM-8001A_Q3_F.PLC,142,1,BOOL,2,Read,PLC.2609-KM-8001A - Instrument air compressor_Circuit 3_Q3_Motor 3 Fault 1:Fault 0:Normal,"",Permanent,"",""
2609-KM-8001A_QF3_ATUO.PLC,143,1,BOOL,2,Read,PLC.2609-KM-8001A - Instrument air compressor_Circuit 3_Q3_Remote_Local 1:Remote 0:Local,"",Permanent,"",""
2609-KM-8001A_QF3_STA.PLC,144,1,BOOL,2,Read,PLC.2609-KM-8001A - Instrument air compressor_Circuit 3_QF3_Switch Closing 1:Closed 0:Open,"",Permanent,"",""
